-41,-43,-52,-74,-68,-87,-45,-83,-57,-69,-52,-80,-82,-89,-54,-71,-67,-76,-51,-66
-43,-47,-51,-80,-67,-87,-51,-73,-55,-68,-63,-82,-80,-89,-60,-68,-72,-80,-46,-67
-41,-43,-51,-76,-69,100,-47,-73,-51,-73,-52,-79,-80,-87,-53,-73,-69,-76,-51,-65
-45,-47,-53,-77,-68,100,-51,-74,-50,-70,-65,-83,-80,-88,-60,-66,-73,-80,-47,-65
-41,-43,-52,-76,-71,100,-46,-78,-57,-70,-54,-79,-74,-88,-54,-73,-67,-75,-50,-64
-45,-47,-52,-76,-68,100,-51,-73,-50,-70,-64,-83,-74,-88,-59,-66,-73,-80,-47,-65
-41,-43,-50,-76,-68,-90,-45,-78,-52,-69,-52,-80,-75,-88,-53,-72,-70,-75,-51,-64
-46,-46,-53,-76,-69,-90,-51,-73,-57,-69,-65,-81,-75,-87,-59,-67,-73,-78,-49,-67
-41,-44,-51,-74,-70,-90,-46,-77,-53,-67,-53,-79,-77,-89,-54,-70,-69,-76,-53,-68
-45,-46,-51,-78,-67,100,-46,-77,-57,-69,-62,-87,-77,-89,-59,-66,-75,-78,-46,-71
-40,-52,-62,-77,-74,100,-50,-64,-45,-61,-59,-83,-75,-93,-53,-66,-62,-78,-48,-64
-39,-56,-57,-74,-70,100,-48,-63,-43,-65,-55,-82,-75,-89,-50,-67,-63,-75,-52,-64
-39,-52,-58,-77,-73,100,-52,-64,-44,-62,-65,-81,-72,-93,-52,-66,-61,-79,-49,-74
-39,-56,-59,-74,-72,100,-46,-62,-47,-61,-54,-80,-80,-91,-50,-69,-63,-75,-53,-64
-39,-52,-59,-76,-73,100,-51,-65,-51,-62,-67,-81,-73,-90,-54,-65,-62,-78,-49,-75
-39,-57,-55,-75,-70,100,-47,-62,-42,-67,-54,-81,-76,-90,-50,-69,-63,-75,-53,-65
-40,-52,-58,-75,-73,-88,-51,-65,-45,-66,-66,-81,-76,-90,-52,-65,-62,-79,-49,-73
-40,-52,-58,-75,-70,-91,-46,-63,-46,-61,-54,-79,-76,-88,-50,-65,-63,-79,-53,-73
-39,-52,-61,-79,-73,-91,-51,-64,-44,-68,-65,-81,-76,-91,-52,-66,-62,-78,-49,-74
-39,-56,-59,-76,-69,-91,-48,-64,-46,-66,-62,-79,-72,-90,-51,-70,-62,-75,-54,-64
-39,-48,-55,-76,-76,100,-56,-72,-41,-53,-71,-89,-72,-84,-50,-65,-73,-79,-63,-71
-42,-58,-57,-79,-68,100,-47,-68,-42,-59,-65,-91,-73,-83,-47,-76,-70,-77,-56,-71
-40,-48,-55,-78,-76,100,-53,-71,-40,-55,-73,-91,-77,-83,-50,-65,-70,-79,-63,-71
-42,-55,-62,-80,-68,100,-47,-70,-38,-62,-69,-87,-76,-82,-46,-74,-70,-75,-53,-83
-41,-49,-57,-75,-68,100,-64,-72,-40,-57,-69,-89,-73,-86,-46,-64,-68,-78,-62,-74
-41,-57,-65,-80,-68,-89,-44,-68,-45,-62,-65,-85,-77,-82,-49,-76,-69,-78,-58,-76
-40,-47,-60,-76,-77,-89,-60,-69,-45,-56,-73,-92,-77,-83,-48,-65,-69,-81,-56,-70
-40,-58,-62,-79,-68,-89,-47,-68,-42,-61,-73,-86,-71,-81,-47,-74,-73,-77,-53,-73
-40,-49,-57,-76,-74,-91,-56,-67,-40,-53,-73,-89,-71,-85,-50,-65,-70,-79,-62,-71
-41,-56,-62,-81,-66,-91,-48,-65,-40,-58,-70,-90,-72,-81,-48,-74,-76,-78,-56,-73
-44,-61,-59,-71,-77,-89,-74,-84,-53,-58,-79,100,-83,-95,-52,-65,-71,-83,-65,-72
-52,-57,-60,-77,-71,-89,-73,-74,-43,-58,-75,-94,-83,-93,-52,-70,-67,-81,-50,-71
-45,-62,-59,-70,-76,-89,-75,-74,-51,-59,-76,-94,-83,-94,-55,-65,-70,-85,-67,-75
-51,-57,-60,-81,-72,100,-70,-75,-40,-62,-79,-94,100,-92,-50,-70,-64,-82,-50,-75
-45,-62,-61,-72,-78,100,-73,-86,-53,-58,-78,100,-84,-93,-52,-65,-69,-85,-65,-75
-50,-57,-60,-83,-71,100,-70,-75,-44,-62,-75,100,-81,-92,-52,-73,-67,-81,-51,-73
-45,-62,-59,-72,-78,100,-74,-83,-53,-59,-79,100,-84,-94,-51,-66,-70,-84,-67,-74
-52,-56,-59,-72,-71,-91,-71,-75,-42,-62,-74,100,-84,-91,-53,-69,-66,-81,-50,-73
-45,-62,-61,-72,-77,-91,-74,-84,-53,-59,-77,100,-85,-92,-52,-66,-70,-84,-65,-74
-51,-56,-60,-84,-71,-91,-69,-75,-42,-63,-77,100,-85,-91,-54,-70,-66,-84,-50,-73
-43,-65,-56,-74,-67,100,-75,-75,-53,-63,-79,100,-88,100,-47,-67,-69,-91,-47,-72
-51,-66,-55,-74,-75,100,-71,-76,-53,-69,-80,100,-88,100,-52,-62,-78,-83,-65,-79
-47,-65,-48,-76,-71,100,-73,-74,-48,-61,-79,100,100,100,-49,-65,-69,-90,-48,-73
-50,-66,-52,-71,-72,100,-71,-78,-56,-67,-81,100,100,100,-53,-61,-79,-84,-67,-80
-47,-62,-50,-74,-69,100,-73,-75,-48,-62,-77,100,100,100,-50,-70,-71,-90,-49,-73
-47,-66,-53,-72,-73,100,-70,-77,-54,-68,-84,100,100,100,-54,-61,-77,-85,-66,-80
-46,-65,-47,-75,-69,-94,-73,-74,-54,-61,-79,100,-82,100,-47,-67,-70,-89,-48,-75
-52,-65,-52,-75,-72,-94,-73,-74,-65,-67,-79,100,-82,100,-54,-62,-77,-89,-62,-75
-46,-64,-48,-75,-70,-94,-75,-74,-47,-61,-81,100,-82,100,-49,-66,-74,-89,-48,-76
-53,-66,-52,-73,-73,100,-70,-77,-52,-67,-81,100,100,100,-49,-63,-80,-84,-62,-73
-48,-63,-44,-76,-70,100,-74,-83,-59,-69,-81,100,-88,100,-48,-64,-68,-88,-53,-76
-50,-64,-50,-67,-76,100,-75,-83,-59,-76,-81,100,-88,100,-55,-63,-74,-91,-68,-73
-48,-63,-44,-74,-69,100,-73,-84,-51,-68,-80,100,100,100,-48,-66,-68,-89,-53,-76
-50,-64,-50,-67,-76,100,-77,-83,-60,-76,-83,100,100,100,-54,-61,-73,-90,-67,-72
-48,-63,-44,-75,-70,100,-75,-84,-51,-68,-82,100,100,100,-47,-67,-67,-90,-53,-76
